[685598.805897] cpu=0	jifd=27	cycled=129669	insd=239458	cml2=584	bmd=6572
[685598.913933] cpu=0	jifd=27	cycled=128028	insd=241338	cml2=617	bmd=6724
[685599.021899] cpu=0	jifd=27	cycled=141058	insd=347246	cml2=774	bmd=11268
[685599.129896] cpu=0	jifd=27	cycled=131128	insd=248304	cml2=639	bmd=7279
[685599.237898] cpu=0	jifd=27	cycled=143880	insd=382986	cml2=811	bmd=13448
[685599.345883] cpu=0	jifd=27	cycled=143130	insd=356089	cml2=799	bmd=12145
[685599.457882] cpu=0	jifd=28	cycled=144020	insd=371362	cml2=925	bmd=12461
[685599.565946] cpu=0	jifd=27	cycled=235548	insd=267045	cml2=800	bmd=8029
[685599.673897] cpu=0	jifd=27	cycled=196373	insd=436136	cml2=1920	bmd=14569
[685599.781896] cpu=0	jifd=27	cycled=133906	insd=242305	cml2=555	bmd=6659
[685599.889897] cpu=0	jifd=27	cycled=134015	insd=304672	cml2=724	bmd=9754
[685599.997886] cpu=0	jifd=27	cycled=139470	insd=325330	cml2=1521	bmd=10483
[685600.105897] cpu=0	jifd=27	cycled=145152	insd=348809	cml2=908	bmd=11426
[685600.213884] cpu=0	jifd=27	cycled=134175	insd=277369	cml2=847	bmd=8782
[685600.321894] cpu=0	jifd=27	cycled=131596	insd=266725	cml2=689	bmd=8287
[685600.429897] cpu=0	jifd=27	cycled=143982	insd=393923	cml2=839	bmd=12940
[685600.537893] cpu=0	jifd=27	cycled=138418	insd=309256	cml2=779	bmd=10086
[685600.645901] cpu=0	jifd=27	cycled=255554	insd=425450	cml2=1285	bmd=13741
[685600.753896] cpu=0	jifd=27	cycled=181662	insd=325043	cml2=939	bmd=9728
[685600.861890] cpu=0	jifd=27	cycled=130148	insd=234292	cml2=562	bmd=6324
[685600.969881] cpu=0	jifd=27	cycled=140474	insd=364627	cml2=832	bmd=12155
[685601.077891] cpu=0	jifd=27	cycled=131663	insd=247075	cml2=581	bmd=6884
[685601.185896] cpu=0	jifd=27	cycled=134755	insd=302589	cml2=775	bmd=9491
[685601.293891] cpu=0	jifd=27	cycled=144813	insd=377760	cml2=1547	bmd=12680
[685601.401887] cpu=0	jifd=27	cycled=141807	insd=325137	cml2=730	bmd=10239
[685601.509880] cpu=0	jifd=27	cycled=138729	insd=328972	cml2=822	bmd=11045
[685601.617893] cpu=0	jifd=27	cycled=144595	insd=351974	cml2=864	bmd=11535
[685601.725904] cpu=0	jifd=27	cycled=249893	insd=315091	cml2=767	bmd=10184
[685601.833879] cpu=0	jifd=27	cycled=194246	insd=470609	cml2=1787	bmd=15586
[685601.941892] cpu=0	jifd=27	cycled=131689	insd=238572	cml2=641	bmd=6503
[685602.049890] cpu=0	jifd=27	cycled=135172	insd=317582	cml2=706	bmd=10094
[685602.157891] cpu=0	jifd=27	cycled=137185	insd=311888	cml2=728	bmd=9931
[685602.265888] cpu=0	jifd=27	cycled=126403	insd=217914	cml2=509	bmd=6036
[685602.373887] cpu=0	jifd=27	cycled=130632	insd=255551	cml2=587	bmd=7398
[685602.481886] cpu=0	jifd=27	cycled=141206	insd=354946	cml2=739	bmd=11847
[685602.589889] cpu=0	jifd=27	cycled=132480	insd=269594	cml2=611	bmd=8396
[685602.697910] cpu=0	jifd=27	cycled=131967	insd=275638	cml2=751	bmd=8621
[685602.805888] cpu=0	jifd=27	cycled=259456	insd=332074	cml2=1143	bmd=10238
[685602.913889] cpu=0	jifd=27	cycled=169574	insd=340254	cml2=860	bmd=10555
[685603.021874] cpu=0	jifd=27	cycled=139167	insd=332595	cml2=698	bmd=10236
[685603.129875] cpu=0	jifd=27	cycled=145243	insd=358872	cml2=959	bmd=11342
[685603.237888] cpu=0	jifd=27	cycled=134717	insd=287354	cml2=714	bmd=8681
[685603.345911] cpu=0	jifd=27	cycled=130685	insd=253995	cml2=655	bmd=7537
[685603.453881] cpu=0	jifd=27	cycled=136412	insd=303539	cml2=664	bmd=9588
